,SalesID,SalePrice,MachineID,ModelID,datasource,auctioneerID,YearMade,MachineHoursCurrentMeter,UsageBand,saledate,fiModelDesc,fiBaseModel,fiSecondaryDesc,fiModelSeries,fiModelDescriptor,ProductSize,fiProductClassDesc,state,ProductGroup,ProductGroupDesc,Drive_System,Enclosure,Forks,Pad_Type,Ride_Control,Stick,Transmission,Turbocharged,Blade_Extension,Blade_Width,Enclosure_Type,Engine_Horsepower,Hydraulics,Pushblock,Ripper,Scarifier,Tip_Control,Tire_Size,Coupler,Coupler_System,Grouser_Tracks,Hydraulics_Flow,Track_Type,Undercarriage_Pad_Width,Stick_Length,Thumb,Pattern_Changer,Grouser_Type,Backhoe_Mounting,Blade_Type,Travel_Controls,Differential_Type,Steering_Controls
10,1139278,24000.0,1024998,4605,121,3.0,2004,1414.0,Medium,8/21/2008 0:00,310G,310,G,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Oregon,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,Street,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
11,1139282,22500.0,319906,5255,121,3.0,1998,2764.0,Low,8/24/2006 0:00,D31E,D31,E,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Ohio,TTT,Track Type Tractors,,EROPS w AC,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,
12,1139283,36000.0,1052214,2232,121,3.0,1998,0.0,,10/20/2005 0:00,PC200LC6,PC200,,LC,6,Large / Medium,"Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons",Ohio,TEX,Track Excavators,,EROPS,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Steel,None or Unspecified,"11' 0""",None or Unspecified,None or Unspecified,Double,,,,,
13,1139284,30500.0,1068082,3542,121,3.0,2001,1921.0,Medium,1/26/2006 0:00,420D,420,D,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Texas,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
14,1139290,28000.0,1058450,5162,121,3.0,2004,320.0,Low,1/3/2006 0:00,214E,214,E,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,North Carolina,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
15,1139291,19000.0,1004810,4604,121,3.0,1999,2450.0,Medium,11/16/2006 0:00,310E,310,E,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Arkansas,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
16,1139292,13500.0,1026973,9510,121,3.0,1999,1972.0,Low,6/14/2007 0:00,334,334,,,,Mini,"Hydraulic Excavator, Track - 3.0 to 4.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
17,1139299,9500.0,1002713,21442,121,3.0,2003,0.0,,1/28/2010 0:00,45NX,45,NX,,,Mini,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",Wisconsin,TEX,Track Excavators,,EROPS,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Steel,16 inch,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
18,1139301,12500.0,125790,7040,121,3.0,2001,994.0,Low,3/9/2006 0:00,302.5,302.5,,,,Mini,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",North Carolina,TEX,Track Excavators,,EROPS,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,Yes,Double,,,,,
19,1139304,11500.0,1011914,3177,121,3.0,1991,8005.0,Medium,11/17/2005 0:00,580SUPER K,580,SUPER K,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Illinois,BL,Backhoe Loaders,Two Wheel Drive,EROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
20,1139311,41000.0,1014135,8867,121,3.0,2000,3259.0,Medium,5/18/2006 0:00,JS260,JS260,,,,Large / Medium,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",Kansas,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,32 inch,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
21,1139333,34500.0,999192,3350,121,3.0,1000,16328.0,Medium,10/19/2006 0:00,120G,120,G,,,,Motorgrader - 45.0 to 130.0 Horsepower,Nevada,MG,Motor Graders,No,EROPS,,,,,Powershift,,Yes,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,Sideshift & Tip,"13""",,,,,,,,,,,,,,,
22,1139344,26000.0,1044500,7040,121,3.0,2005,109.0,Low,10/25/2007 0:00,302.5,302.5,,,,Mini,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",Iowa,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
23,1139346,73000.0,821452,85,121,3.0,1996,17033.0,High,10/19/2006 0:00,966FII,966,F,II,,Medium,Wheel Loader - 200.0 to 225.0 Horsepower,Maine,WL,Wheel Loader,,EROPS w AC,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,26.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
24,1139348,33000.0,294562,3542,121,3.0,2001,1877.0,Medium,5/20/2004 0:00,420D,420,D,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Texas,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
25,1139351,12500.0,833838,7009,121,3.0,2003,1028.0,Medium,3/9/2006 0:00,226,226,,,,,Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,Massachusetts,SSL,Skid Steer Loaders,,EROPS,,,,,,,,,,,Auxiliary,,,,,,Manual,None or Unspecified,,,,,,,,,,,,,
26,1139354,15500.0,565440,7040,121,3.0,2003,356.0,Low,3/9/2006 0:00,302.5,302.5,,,,Mini,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",California,TEX,Track Excavators,,EROPS,,,,,,,,,,,Auxiliary,,,,,,Manual,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,Yes,Double,,,,,
27,1139356,53000.0,1004127,25458,121,3.0,2000,0.0,,2/22/2007 0:00,EX550STD,EX550,STD,,,Large / Medium,"Hydraulic Excavator, Track - 50.0 to 66.0 Metric Tons",Texas,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
28,1139357,46000.0,44800,19167,121,3.0,2004,904.0,Low,8/9/2007 0:00,685B,685,B,,,,Motorgrader - 45.0 to 130.0 Horsepower,Louisiana,MG,Motor Graders,No,OROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,None or Unspecified,None or Unspecified,,,,,,,,,,,,,,,
29,1139358,89000.0,1018076,1333,121,3.0,1998,10466.0,Medium,6/1/2006 0:00,345BL,345,BL,,,Large / Medium,"Hydraulic Excavator, Track - 40.0 to 50.0 Metric Tons",Minnesota,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,"15' 9""",None or Unspecified,Yes,Double,,,,,
30,1139363,51000.0,871201,1263,121,3.0,1999,15633.0,High,10/22/2010 0:00,330BL,330,B,,L,Large / Medium,"Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",New Hampshire,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
31,1139365,14000.0,973717,9566,121,3.0,2001,2097.0,Medium,3/22/2007 0:00,873,873,,,,,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,Idaho,SSL,Skid Steer Loaders,,EROPS,None or Unspecified,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
32,1139367,31500.0,1036100,9109,121,3.0,1995,7542.0,Medium,7/27/2006 0:00,WA250,WA250,,,,,Wheel Loader - 120.0 to 135.0 Horsepower,North Carolina,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
33,1139369,14000.0,1050658,1918,121,3.0,1000,0.0,,1/28/2010 0:00,750BLT,750,B,,LT,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",Michigan,TTT,Track Type Tractors,,OROPS,,,,,Hydrostatic,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,,
34,1139379,18500.0,70214,13395,121,3.0,2004,587.0,Medium,6/1/2006 0:00,303CR,303,,,CR,Mini,"Hydraulic Excavator, Track - 3.0 to 4.0 Metric Tons",Louisiana,TEX,Track Excavators,,EROPS,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
35,1139382,10000.0,1068548,112,121,3.0,1000,3981.0,Low,6/9/2011 0:00,95ZII,95,Z,II,,Medium,Wheel Loader - 275.0 to 350.0 Horsepower,Arkansas,WL,Wheel Loader,,EROPS w AC,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,29.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
36,1139390,8250.0,1011114,7110,121,3.0,1000,0.0,,5/19/2011 0:00,416,416,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Mississippi,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
37,1139398,20500.0,138847,7043,121,3.0,2001,765.0,Medium,5/20/2004 0:00,303.5,303.5,,,,Mini,"Hydraulic Excavator, Track - 3.0 to 4.0 Metric Tons",Georgia,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,Yes,Double,,,,,
38,1139401,9500.0,1011478,18604,121,3.0,2003,0.0,,7/24/2009 0:00,CTL60,CTL60,,,,,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,Mississippi,SSL,Skid Steer Loaders,,OROPS,Yes,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,None or Unspecified,Yes,Standard,,,,,,,,,,,
39,1139409,51000.0,999090,3362,121,3.0,1000,2223.0,Low,6/15/2011 0:00,140G,140,G,,,,Motorgrader - 145.0 to 170.0 Horsepower,Missouri,MG,Motor Graders,No,EROPS w AC,,,,,None or Unspecified,,None or Unspecified,12',None or Unspecified,No,Base + 1 Function,Yes,None or Unspecified,Yes,None or Unspecified,None or Unspecified,,,,,,,,,,,,,,,
40,1139412,39000.0,108090,1088,121,3.0,2006,1125.0,Medium,6/25/2009 0:00,307CSB,307,C,,SB,Mini,"Hydraulic Excavator, Track - 6.0 to 8.0 Metric Tons",North Carolina,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,Hydraulic,Yes,Triple,,,,,
41,1139413,58000.0,1045512,5853,121,3.0,2001,2425.0,Low,2/25/2010 0:00,EC210LC,EC210,,,LC,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,32 inch,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
42,1139415,15500.0,1066239,17188,121,3.0,1996,5396.0,Medium,12/15/2005 0:00,MF650,MF650,,,,Compact,Wheel Loader - 60.0 to 80.0 Horsepower,California,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
43,1139418,7750.0,1026462,6270,121,3.0,2001,678.0,Low,7/9/2009 0:00,RC30,RC30,,,,,Skid Steer Loader - 701.0 to 976.0 Lb Operating Capacity,North Carolina,SSL,Skid Steer Loaders,,EROPS,None or Unspecified,,,,,,,,,,Auxiliary,,,,,,Manual,Yes,Yes,Standard,,,,,,,,,,,
44,1139421,32000.0,1048704,2797,121,3.0,2000,3817.0,Low,6/16/2011 0:00,EX120-5,EX120,,-5,,Small,"Hydraulic Excavator, Track - 8.0 to 11.0 Metric Tons",California,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,Hydraulic,None or Unspecified,Double,,,,,
45,1139423,11500.0,999442,3217,121,3.0,2003,1788.0,High,12/14/2006 0:00,70XT,70,XT,,,,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,Florida,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
46,1139424,12000.0,1011821,4818,121,3.0,1000,5074.0,Low,11/18/2010 0:00,772A,772,A,,,,Motorgrader - 170.0 to 200.0 Horsepower,Iowa,MG,Motor Graders,All Wheel Drive,EROPS w AC,,,,,Powershift,,None or Unspecified,14',None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,None or Unspecified,"14""",,,,,,,,,,,,,,,
47,1139426,75000.0,625882,23937,121,3.0,1996,8270.0,Low,8/6/2009 0:00,160HNA,160,H,,,,Motorgrader - 170.0 to 200.0 Horsepower,California,MG,Motor Graders,No,EROPS w AC,,,,,Powershift,,None or Unspecified,14',Low Profile,Variable,Base + 3 Function,Yes,Yes,None or Unspecified,None or Unspecified,"14""",,,,,,,,,,,,,,,
48,1139429,5500.0,1007166,7002,121,3.0,2001,2128.0,Medium,7/8/2009 0:00,216,216,,,,,Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity,North Carolina,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
49,1139432,28500.0,362075,1078,121,3.0,2003,1457.0,Medium,8/24/2006 0:00,304CR,304,,,CR,Mini,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",Missouri,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Auxiliary,,,,,,Manual,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,Yes,Double,,,,,
50,1139445,35500.0,1066661,13776,121,3.0,1998,764.0,Low,7/15/2004 0:00,D3CIIIXL,D3,C,III,XL,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Michigan,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,,
51,1139449,11500.0,115392,7014,121,3.0,2002,2026.0,Medium,4/12/2007 0:00,236,236,,,,,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,North Carolina,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Auxiliary,,,,,,Manual,Yes,None or Unspecified,Standard,,,,,,,,,,,
52,1139450,35500.0,1059046,1830,121,3.0,2003,5383.0,Medium,2/10/2011 0:00,120C,120,C,,,Small,"Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",South Carolina,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
53,1139451,30000.0,980151,13776,121,3.0,1998,3186.0,Medium,11/17/2005 0:00,D3CIIIXL,D3,C,III,XL,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Utah,TTT,Track Type Tractors,,EROPS,,,,,Hydrostatic,,,,,,4 Valve,,Single Shank,,,,,,,,,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,,
54,1139455,18500.0,571708,11982,121,3.0,1000,10101.0,Medium,8/27/2009 0:00,PC228,PC228,,,,Large / Medium,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",Michigan,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,3 Valve,,,,,,,,,,,28 inch,,,,,,,,,
55,1139456,33000.0,1042584,2140,121,3.0,2002,4032.0,Medium,2/3/2011 0:00,SK160LC,SK160,,,LC,Small,"Hydraulic Excavator, Track - 16.0 to 19.0 Metric Tons",California,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Standard,,,,,,Hydraulic,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
56,1139457,9500.0,1063011,506,121,3.0,2001,3576.0,Medium,6/28/2007 0:00,PC40MR-1,PC40,MR,-1,,Mini,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",Wisconsin,TEX,Track Excavators,,EROPS,,,,,,,,,,,Auxiliary,,,,,,Manual,,,,Rubber,30 inch,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
57,1139459,8500.0,1029997,28561,121,3.0,2005,1290.0,Low,6/2/2011 0:00,PC18MR,PC18,MR,,,Mini,"Hydraulic Excavator, Track - 0.0 to 2.0 Metric Tons",Texas,TEX,Track Excavators,,EROPS,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
58,1139461,19000.0,697529,1078,121,3.0,2005,1498.0,Medium,8/27/2009 0:00,304CR,304,,,CR,Mini,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",Illinois,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Rubber,16 inch,None or Unspecified,Manual,Yes,Double,,,,,
59,1139463,37000.0,1033597,28920,121,3.0,2006,11121.0,High,2/25/2010 0:00,WA250PT5L,WA250,PT,5,L,,Wheel Loader - 120.0 to 135.0 Horsepower,Alabama,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,Hydraulic,,,,,,,,,,,,,Standard,Conventional
60,1139464,51000.0,882909,3783,121,3.0,2001,9052.0,High,7/27/2006 0:00,928G,928,G,,,,Wheel Loader - 120.0 to 135.0 Horsepower,Tennessee,WL,Wheel Loader,,EROPS w AC,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,20.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
61,1139465,8250.0,1015814,5766,121,3.0,1000,4339.0,Low,8/20/2009 0:00,510D,510,D,,,,Motorgrader - 45.0 to 130.0 Horsepower,Washington,MG,Motor Graders,All Wheel Drive,OROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,Yes,None or Unspecified,None or Unspecified,None or Unspecified,,,,,,,,,,,,,,,
62,1139469,23000.0,1058869,3171,121,3.0,1998,9987.0,High,5/17/2007 0:00,580L,580,L,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Texas,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
63,1139473,30500.0,1054162,663,121,3.0,2000,1894.0,Medium,6/15/2004 0:00,WB150-2,WB150,,-2,,,Backhoe Loader - 15.0 to 16.0 Ft Standard Digging Depth,Missouri,BL,Backhoe Loaders,Four Wheel Drive,EROPS w AC,None or Unspecified,None or Unspecified,No,Extended,Powershuttle,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
64,1139476,28000.0,1065636,3357,121,3.0,1000,0.0,,5/10/2010 0:00,12G,12,G,,,,Motorgrader - 130.0 to 145.0 Horsepower,Florida,MG,Motor Graders,No,OROPS,,,,,Powershift,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,"17.5""",,,,,,,,,,,,,,,
65,1139479,12000.0,1025088,22074,121,3.0,2006,649.0,Medium,8/6/2009 0:00,325,325,,,,,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,Virginia,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Auxiliary,,,,,,Hydraulic,Yes,None or Unspecified,Standard,,,,,,,,,,,
66,1139480,8100.0,1010707,9560,121,3.0,1000,195.0,Low,4/29/2011 0:00,843,843,,,,,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,Florida,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
67,1139481,29000.0,1062393,13247,121,3.0,2005,2032.0,Medium,4/22/2010 0:00,580MII,580,M,II,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Texas,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Powershuttle,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
68,1139482,102000.0,450508,1333,121,3.0,1998,8175.0,Medium,1/25/2007 0:00,345BL,345,BL,,,Large / Medium,"Hydraulic Excavator, Track - 40.0 to 50.0 Metric Tons",California,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Auxiliary,,,,,,Hydraulic,,,,Steel,None or Unspecified,"11' 0""",None or Unspecified,None or Unspecified,Double,,,,,
69,1139484,35000.0,762683,3807,121,3.0,2002,8421.0,Medium,10/21/2010 0:00,938G,938,G,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Michigan,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,20.5,Hydraulic,,,,,,,,,,,,,Standard,Conventional
70,1139487,33500.0,1054383,13792,121,3.0,1999,2413.0,Medium,6/3/2004 0:00,D4CIIIXL,D4,C,III,XL,,"Track Type Tractor, Dozer - 75.0 to 85.0 Horsepower",Arkansas,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,4 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,,
